Date,iShares Edge MSCI World Quality Factor UCITS ETF (Acc)
2016-08,29565.12212427402
2016-09,29558.500874703277
2016-10,29236.45268245869
2016-11,30500.860249157406
2016-12,31266.346925711598
2017-01,31095.76308457503
2017-02,32716.871382470967
2017-03,32878.58877632244
2017-04,32686.35059768669
2017-05,32715.482762634103
2017-06,32078.979581988013
2017-07,31704.533215880085
2017-08,31553.26222358186
2017-09,32298.291208318722
2017-10,33524.019695440686
2017-11,33899.08685313413
2017-12,33944.792911097706
2018-01,34020.906673621415
2018-02,33495.82011110231
2018-03,32844.646959494305
2018-04,33712.355145115405
2018-05,35398.837130442815
2018-06,35302.261799576896
2018-07,36248.935802778135
2018-08,37121.1054313905
2018-09,37528.712636847835
2018-10,35708.881009804485
2018-11,35780.1556428139
2018-12,33071.225887852284
2019-01,35390.520875411756
2019-02,37227.91549172083
2019-03,38630.45221042493
2019-04,39933.654527261824
2019-05,37863.48234340676
2019-06,39607.39345063554
2019-07,40609.38343988258
2019-08,40159.98766288514
2019-09,41442.00714711243
2019-10,41605.228911127015
2019-11,43663.1783592755
2019-12,44135.418980538496
2020-01,44665.93172636376
2020-02,41195.70462406757
2020-03,36702.86012955141
2020-04,40752.381450167406
2020-05,41685.14755896957
2020-06,42051.11101870822
2020-07,41353.991301220434
2020-08,43898.63914828641
2020-09,43413.97860033737
2020-10,42093.57566726922
2020-11,45948.34659145631
2020-12,46547.74435661919
2021-01,46082.06691260137
2021-02,47235.26021085252
2021-03,50830.29705865612
2021-04,51822.63828120893
2021-05,52285.17823072021
2021-06,54809.40500005679
2021-07,56451.67194244747
2021-08,58135.067502889586
2021-09,55809.75570172199
2021-10,59504.207276953166
2021-11,59901.87690042337
2021-12,62318.94991242443
2022-01,58938.748074941526
2022-02,56875.117287060246
2022-03,59253.82865285772
2022-04,57548.438420064274
