Date,iShares MSCI EM UCITS ETF (Acc)
2013-01,181222.09581718963
2013-02,184683.1436395556
2013-03,186108.03757302518
2013-04,183724.33025255767
2013-05,179978.5367337382
2013-06,167625.500987032
2013-07,166953.07797662006
2013-08,164622.40100543827
2013-09,171849.1044330961
2013-10,178400.9647910595
2013-11,176166.97860167423
2013-12,171341.6044907011
2014-01,163488.44536778593
2014-02,165281.58133326564
2014-03,170676.3249022403
2014-04,170519.23046482314
2014-05,179636.60823522665
2014-06,183774.77343381627
2014-07,191361.22623437957
2014-08,198556.46051562318
2014-09,192691.40095415208
2014-10,195875.39610657503
2014-11,194422.51038884273
2014-12,190751.71710646764
2015-01,206073.81529016793
2015-02,213677.19245229033
2015-03,220068.2526625017
2015-04,227378.59928985624
2015-05,223158.73425889027
2015-06,213241.76044618944
2015-07,202579.1681875752
2015-08,180220.57257252172
2015-09,175023.45041377895
2015-10,190660.09619883195
2015-11,190793.67093220737
2015-12,181339.63088090866
2016-01,169045.84152039274
2016-02,169258.57382910312
2016-03,183304.4394687892
2016-04,184018.77751743657
2016-05,181118.7787005866
2016-06,189391.57452553045
2016-07,198805.8784046113
2016-08,203435.01328566842
2016-09,205545.3163559026
2016-10,210069.86752461945
2016-11,206242.17451565867
2016-12,208653.79402052384
2017-01,215672.00396054846
2017-02,225572.6678588244
2017-03,229255.653824424
2017-04,229163.92442797398
2017-05,229832.51891043797
2017-06,228379.77018442564
2017-07,235637.34176279925
2017-08,238948.84885646688
2017-09,238400.2279984526
2017-10,250299.08709371038
2017-11,246311.30985000572
2017-12,252179.06798717973
2018-01,263001.45036399533
2018-02,255861.89359649687
2018-03,248950.6491101704
2018-04,252824.56435099232
2018-05,251811.6308600114
2018-06,242328.42775191396
2018-07,246181.59526966108
2018-08,241308.32830819266
2018-09,241627.1189530538
2018-10,225598.5603522105
2018-11,234029.90049835475
2018-12,226124.42740156085
2019-01,245093.2427437227
2019-02,247179.36673856233
2019-03,253281.24019078593
2019-04,259015.09489593687
2019-05,241707.32529518986
2019-06,251781.12871540125
2019-07,253984.87807869658
2019-08,244154.2753927978
2019-09,252218.99058476312
2019-10,256597.76775484497
2019-11,260236.65321328375
2019-12,273507.0783682201
2020-01,265021.4703669648
2020-02,252736.74485040226
2020-03,214245.09605936793
2020-04,235594.33392736613
2020-05,231874.5987500015
2020-06,247625.7643752919
2020-07,255127.1779997616
2020-08,258781.73975575704
2020-09,259699.40963275338
2020-10,265277.6471579672
2020-11,282966.5704788437
2020-12,296653.0952356827
2021-01,309183.0935092224
2021-02,311904.07600351557
2021-03,317601.24960832234
2021-04,315884.60918055923
2021-05,320082.7375205619
2021-06,329250.12699751084
2021-07,307054.7147861567
2021-08,316660.63590704097
2021-09,310839.1065672851
2021-10,312124.60780764965
2021-11,306815.0333468836
2021-12,313695.76411835285
2022-01,312424.4949944242
2022-02,301912.8722733343
2022-03,297759.3409179298
2022-04,296165.7332238263
