Date,iShares MSCI World Small Cap UCITS ETF
2014-06,247.11404762068895
2014-07,242.062983175097
2014-08,253.12598901115172
2014-09,250.4521061483121
2014-10,255.8705573036474
2014-11,257.84674834983144
2014-12,266.63529773114465
2015-01,281.14125759244195
2015-02,300.1979084303999
2015-03,314.3264769664655
2015-04,304.3622449429319
2015-05,315.72057180737914
2015-06,306.7700975741946
2015-07,311.5771380594311
2015-08,288.5280301787625
2015-09,276.5712896389472
2015-10,297.34963333260754
2015-11,313.14488601525005
2015-12,296.67002845919785
2016-01,272.7803199317296
2016-02,275.47122310032375
2016-03,285.7193800412698
2016-04,291.99441331981944
2016-05,302.1794369317665
2016-06,297.9043055498296
2016-07,313.9835473863444
2016-08,313.9134412692875
2016-09,317.8455041318228
2016-10,312.117480790758
2016-11,334.7155567850067
2016-12,345.81405311457314
2017-01,346.69541441578775
2017-02,359.3338730278361
2017-03,358.93030222336614
2017-04,358.15414374553825
2017-05,351.18146710520875
2017-06,350.75134974152934
2017-07,349.0323812046498
2017-08,345.92283910802377
2017-09,360.21043949186287
2017-10,370.65959858186847
2017-11,372.01844324712476
2017-12,373.1224984518649
2018-01,371.8807016633368
2018-02,364.0824292989415
2018-03,361.2270289087644
2018-04,371.8902216523564
2018-05,394.3174152519764
2018-06,394.4706142095448
2018-07,396.5657257010825
2018-08,408.23331266553544
2018-09,405.0658158735609
