Date,Xtrackers MSCI Europe Small Cap UCITS ETF 1C
2018-09,430.02444373921253
2018-10,396.4058870170114
2018-11,381.11649159293887
2018-12,357.16764846081037
2019-01,389.3936545746572
2019-02,401.92273622253805
2019-03,408.25815415877736
2019-04,427.31095432574574
2019-05,402.8979715689706
2019-06,415.3458047796701
2019-07,413.7496655278507
2019-08,406.42277810290693
2019-09,422.145748338104
2019-10,432.20866145332354
2019-11,453.69290278794006
2019-12,470.5939470479475
2020-01,464.04391622035865
2020-02,425.7414194209955
2020-03,335.4189386021542
2020-04,375.8501305273496
2020-05,392.2529003169486
2020-06,399.17232326578767
2020-07,401.58929611647045
2020-08,425.9932005408383
2020-09,423.344319038757
2020-10,402.39744464691614
2020-11,464.5447250960717
2020-12,491.522726187896
2021-01,495.40340415415847
2021-02,514.632478430357
2021-03,541.7734409504562
