Date,iShares Core MSCI World UCITS ETF USD (Acc)
2000-09,299565.15412400506
2000-10,306713.0689079212
2000-11,279221.1024179898
2000-12,264792.1368282799
2001-01,270239.44139020395
2001-02,248590.142489306
2001-03,243209.88837902775
2001-04,259912.04238374872
2001-05,268627.1883673529
2001-06,260204.11091735758
2001-07,248668.7054889847
2001-08,226320.03809834892
2001-09,206980.17326369093
2001-10,213007.7551056037
2001-11,229257.5102241287
2001-12,232913.78803856464
2002-01,230446.82848846063
2002-02,228080.25565479952
2002-03,236179.52429709083
2002-04,221010.02959074342
2002-05,212541.55730219733
2002-06,187882.7130858152
2002-07,175415.03755644805
2002-08,174856.77133281404
2002-09,155209.989525191
2002-10,166600.08341339303
2002-11,174477.41171505582
2002-12,157159.86056440347
2003-01,147749.07583804175
2003-02,145652.54496281024
2003-03,143721.56041745693
2003-04,153214.15034612807
2003-05,152548.2763259881
2003-06,160586.0397042149
2003-07,165428.6967489587
2003-08,175063.64902297445
2003-09,165183.2011554496
2003-10,175442.88541437025
2003-11,172601.44516415775
2003-12,174204.4930495927
2004-01,180525.95792335787
2004-02,183080.6525563098
2004-03,184794.2452577885
2004-04,185280.49539027986
2004-05,183215.7699655942
2004-06,187687.3062937489
2004-07,183327.673905559
2004-08,183081.01718521226
2004-09,182091.27893470536
2004-10,181756.04046227015
2004-11,183321.28423519156
2004-12,185788.1062315877
2005-01,189774.92444865213
2005-02,192560.95530666757
2005-03,193140.1463015241
2005-04,189136.6629665288
2005-05,202390.3344822315
2005-06,208233.88306336387
2005-07,215501.7481869722
2005-08,215320.42944756488
2005-09,223802.0574367718
2005-10,218724.62990887428
2005-11,230975.47370051566
2005-12,235552.57707815338
2006-01,239557.9243457334
2006-02,244158.76248433773
2006-03,244874.07005893867
2006-04,243679.82579483677
2006-05,229474.02576024618
2006-06,232261.2533618917
2006-07,232733.76060046104
2006-08,237293.68329692466
2006-09,243775.68284952865
2006-10,252015.3387033714
2006-11,248412.3013653534
2006-12,254065.4954284333
2007-01,261360.39899865934
2007-02,255004.53134353374
2007-03,257651.21612959827
2007-04,263445.297904723
2007-05,274106.45701447135
2007-06,270995.0119227354
2007-07,261097.5214286214
2007-08,261007.47628456537
2007-09,264321.8532823134
2007-10,267387.65973425604
2007-11,251076.54972302815
2007-12,248541.73243807396
2008-01,227261.66812392758
2008-02,221591.74672798946
2008-03,210582.87295870666
2008-04,225667.57750323648
2008-05,229825.4685684458
2008-06,208102.90818206142
2008-07,205026.5369005594
2008-08,214228.75362388088
2008-09,194508.5468731703
2008-10,176756.72908278633
2008-11,165797.94612563355
2008-12,156536.01683019515
2009-01,155115.8124869745
2009-02,141212.64588583153
2009-03,144340.44036282654
2009-04,161053.66999826164
2009-05,165556.63260775668
2009-06,164432.0051658516
2009-07,178330.76640095178
2009-08,183992.98129394703
2009-09,186510.3955216613
2009-10,181257.22060250634
2009-11,185923.6150190406
2009-12,197399.73338114886
2010-01,195209.0957727765
2010-02,203785.3341331323
2010-03,217947.15650978268
2010-04,220749.4428931518
2010-05,216143.04585863053
2010-06,209389.4229713818
2010-07,213229.0912695231
2010-08,210955.66420583628
2010-09,214309.1527374169
2010-10,218956.0379341968
2010-11,228459.9027312547
2010-12,238611.55538016546
2011-01,238136.1509612971
2011-02,244008.57789716276
2011-03,235327.47580123928
2011-04,234647.7318642369
2011-05,237573.67158822063
2011-06,232766.75038122182
2011-07,231663.17938671034
2011-08,212566.57126107952
2011-09,207882.30205968913
2011-10,221248.06216208567
2011-11,225320.01539761943
2011-12,233582.15476667346
2012-01,240920.26148830552
2012-02,247760.12997941306
2012-03,252676.03192886562
2012-04,252627.00029649964
2012-05,246126.8665919119
2012-06,254906.1815279099
2012-07,264644.597164311
2012-08,264404.0121513186
2012-09,265036.84729574516
2012-10,262000.2375568203
2012-11,265596.07514795335
2012-12,266421.5869542809
2013-01,272672.36138654547
2013-02,281975.87198774004
2013-03,295984.73717675306
2013-04,299226.6781970594
2013-05,301075.82948002877
2013-06,292065.1744881855
2013-07,302960.4377837675
2013-08,297486.99058515235
2013-09,306184.79078058264
2013-10,315018.8949016618
2013-11,321417.9659160596
2013-12,324000.43609824264
2014-01,318368.3989541146
2014-02,327230.62003334094
2014-03,328430.27655600425
2014-04,330435.0914364212
2014-05,343215.45086367853
2014-06,348140.7042566983
2014-07,349756.2637462009
2014-08,362727.80886487797
2014-09,369945.90995670133
2014-10,374120.3812258217
2014-11,382985.8288120865
2014-12,387524.16076710436
2015-01,408673.7537010271
2015-02,435255.50113098236
2015-03,447818.04475075396
2015-04,439832.1797663082
2015-05,451512.7876533717
2015-06,432486.87350091373
2015-07,449236.6766489539
2015-08,410337.64399060566
2015-09,395743.02826864884
2015-10,434365.21407200844
2015-11,450245.42687651864
2015-12,429919.1264697678
2016-01,403015.27421273926
2016-02,401370.59372609627
2016-03,410111.513800534
2016-04,416134.8621354998
2016-05,428135.18887927115
2016-06,425455.57945982815
2016-07,443034.8872689501
2016-08,442796.0846209289
2016-09,444117.09751192864
2016-10,444119.2061702262
2016-11,463854.6624744105
2016-12,479282.2115035919
2017-01,481112.64360957674
2017-02,501992.5940829976
2017-03,503151.8129225392
2017-04,499596.01874605176
2017-05,497322.4099090579
2017-06,490983.48163117276
2017-07,489295.72657459625
2017-08,486087.2197723305
2017-09,497907.56182293163
2017-10,514684.7949408857
2017-11,516646.1891517203
2017-12,517419.27503327286
2018-01,524474.645139112
2018-02,512887.3296055432
2018-03,497594.7520798582
2018-04,513626.81999861915
2018-05,534050.8143298085
2018-06,535778.88540454
2018-07,548886.1188096295
2018-08,559899.0113100233
2018-09,566807.023279113
2018-10,537202.4069669344
2018-11,541534.2519205878
2018-12,496493.41396751045
2019-01,533438.4233067764
2019-02,553125.6760456322
2019-03,569708.4776597827
2019-04,591037.0387892299
2019-05,560716.7457933008
2019-06,585776.1877581798
2019-07,600835.8885596638
2019-08,594869.6389333626
2019-09,615918.5603732854
2019-10,616650.9134090082
2019-11,643947.5403976539
2019-12,648495.0563122397
2020-01,655239.8471102181
2020-02,604128.3103962758
2020-03,525477.57912936
2020-04,587373.1837045103
2020-05,601652.2577554747
2020-06,614300.9805374437
2020-07,608467.0993046898
2020-08,644257.7779243166
2020-09,634505.6481493327
2020-10,615624.7403224733
2020-11,678142.9531377947
2020-12,690251.0411663777
2021-01,691043.8135986849
2021-02,709746.8683014169
2021-03,758435.4829098547
2021-04,770487.9961654447
2021-05,774279.258734104
2021-06,806912.9994140693
2021-07,820945.6348038373
2021-08,845549.9892714289
2021-09,828528.6355760206
2021-10,870580.2807999055
2021-11,872787.4268551926
2021-12,913180.7237769206
2022-01,878076.7052654162
2022-02,852719.4727511723
2022-03,884249.086583006
2022-04,854172.624001723
