Date,iShares Core MSCI Europe UCITS ETF EUR (Acc)
2000-09,333767.03036417265
2000-10,344975.8964799807
2000-11,321465.7172472631
2000-12,320737.75893191725
2001-01,321285.4616971567
2001-02,294492.17383146845
2001-03,285430.56378070806
2001-04,304424.89122463646
2001-05,303431.64935175295
2001-06,292070.64005535265
2001-07,283603.14284255606
2001-08,264104.29232894344
2001-09,238428.80326953545
2001-10,248387.92016281118
2001-11,262519.4700211634
2001-12,271816.2149953918
2002-01,262862.7972588288
2002-02,262367.7160818312
2002-03,274328.9080080931
2002-04,263844.87546198943
2002-05,252698.36188675894
2002-06,229619.5736361041
2002-07,208076.55798231898
2002-08,207010.8071166685
2002-09,179269.73998011372
2002-10,196508.61648843405
2002-11,204834.01951362114
2002-12,186863.34935434742
2003-01,172607.74861242852
2003-02,167488.54221234893
2003-03,163352.59547801086
2003-04,181695.41996095466
2003-05,182356.46875642706
2003-06,190580.9414135992
2003-07,196345.45333330342
2003-08,202996.74412796242
2003-09,194221.76284414835
2003-10,207744.09655926618
2003-11,209852.53183832133
2003-12,215632.20270830306
2004-01,222487.32495873125
2004-02,228384.7314189324
2004-03,224828.6948808406
2004-04,228389.80555687106
2004-05,227597.1122290131
2004-06,231542.94928871363
2004-07,227353.45493176012
2004-08,226149.43195308128
2004-09,229553.51514440635
2004-10,231703.03154486863
2004-11,238290.95010584683
2004-12,242420.44247706985
2005-01,248625.890721549
2005-02,256699.81519410756
2005-03,255946.0388272187
2005-04,249972.56924568114
2005-05,263942.7272437359
2005-06,272951.801754152
2005-07,282867.03547367506
2005-08,284648.03277462994
2005-09,295311.8041098624
2005-10,286461.16200540855
2005-11,297624.83392843144
2005-12,307341.5171693155
2006-01,318749.20634573844
2006-02,325529.7164753549
2006-03,331899.95804330974
2006-04,337122.31160337664
2006-05,319923.73816259234
2006-06,325002.6182498226
2006-07,328582.97129198984
2006-08,336778.3747097714
2006-09,344769.9873765304
2006-10,358537.0397543252
2006-11,357165.9928855724
2006-12,369447.08573734935
2007-01,377830.69847196917
2007-02,369128.5875044206
2007-03,379558.1151420558
2007-04,395991.41288902925
2007-05,408202.169863181
2007-06,406654.4879549978
2007-07,392146.5157259963
2007-08,387889.3622932396
2007-09,393880.1665642296
2007-10,404603.5505859255
2007-11,383368.74339772144
2007-12,377645.79021572904
2008-01,334863.0858288908
2008-02,333614.01684162795
2008-03,321416.8195540582
2008-04,342402.1614541179
2008-05,345476.0893271404
2008-06,310323.525858758
2008-07,304364.9544791632
2008-08,309777.7649854249
2008-09,271020.8653117333
2008-10,239298.99246379812
2008-11,223509.7311291745
2008-12,215121.25578377626
2009-01,207801.3741716492
2009-02,189302.98890426065
2009-03,192390.37736229895
2009-04,220211.98028597995
2009-05,233060.10054435767
2009-06,227979.21140987484
2009-07,251871.23646898806
2009-08,265264.45924456423
2009-09,270543.15833969275
2009-10,264555.6006247841
2009-11,268261.7844904587
2009-12,283986.48703594296
2010-01,275624.0927056307
2010-02,278023.0137774828
2010-03,298215.9044637393
2010-04,294067.6753936284
2010-05,280077.7015910252
2010-06,278873.76639530814
2010-07,293265.76106954855
2010-08,290246.03646395716
2010-09,299293.001614084
2010-10,307542.11031710706
2010-11,303061.408247467
2010-12,319537.72621922154
2011-01,324158.7000752217
2011-02,331431.5107387097
2011-03,320152.6517900936
2011-04,331007.7957268259
2011-05,331376.3419829065
2011-06,323567.02136217593
2011-07,316878.28701432166
2011-08,281388.24053206696
2011-09,268115.7651598568
2011-10,289867.3519596017
2011-11,288895.5226893623
2011-12,294968.6047657534
2012-01,303291.05349306494
2012-02,316184.212512331
2012-03,316551.291849604
2012-04,313161.481251577
2012-05,293363.5966122598
2012-06,312045.50108499016
2012-07,323447.1385897348
2012-08,328956.41801516816
2012-09,330369.4138752601
2012-10,333551.37975653325
2012-11,342408.8612737763
2012-12,346506.49132234446
2013-01,357180.19970394665
2013-02,358523.4624723773
2013-03,367028.7366355523
2013-04,375762.213696621
2013-05,378979.5075145503
2013-06,358714.6480620605
2013-07,379479.3698899665
2013-08,375770.96833833936
2013-09,394755.5955460552
2013-10,407530.85841544566
2013-11,413312.6191676047
2013-12,417062.65521501465
2014-01,409113.57514057413
2014-02,429641.7327960619
2014-03,426259.25674476207
2014-04,435414.5824013823
2014-05,447942.90800092655
2014-06,445911.56566922617
2014-07,437986.4140396781
2014-08,446192.6796462423
2014-09,450112.22531673696
2014-10,440283.62588367227
2014-11,453499.378802449
2014-12,446288.7936126885
2015-01,479291.2645442881
2015-02,512330.99102068564
2015-03,521487.7073379358
2015-04,522562.108940422
2015-05,530975.5580716869
2015-06,504703.8841518187
2015-07,530985.0149083906
2015-08,482269.45689695666
2015-09,460269.9666416261
2015-10,501542.744083468
2015-11,512762.86473077425
2015-12,485455.69605161686
2016-01,452106.0139154422
2016-02,445478.9363660296
2016-03,453056.8689561099
2016-04,464105.5227744955
2016-05,472548.1521358129
2016-06,453823.98550353333
2016-07,472363.6713844668
2016-08,472967.29152707366
2016-09,475877.7974889378
2016-10,469428.39037001965
2016-11,472690.04993104364
2016-12,501915.0111401049
2017-01,502137.2093045292
2017-02,515760.15595643106
2017-03,532358.4701258198
2017-04,539660.247793634
2017-05,552207.8384398681
2017-06,537136.3566282145
2017-07,538299.8448678972
2017-08,534181.6769559351
2017-09,552727.6089102521
2017-10,563352.8767628265
2017-11,554587.6665501759
2017-12,556224.4630783868
2018-01,564436.1226550651
2018-02,541880.4117327983
2018-03,531194.5884554632
